DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
232010015,4/11/2023,1/1/2021,1,Olympic,ORAL COPULATION,13,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 S  NORTON                       AV
231911051,6/29/2023,6/28/2021,1310,Mission,THEFT OF IDENTITY,31,F,H,,Invest Cont,8700    BURNET                       AV
211716607,6/8/2022,12/29/2021,730,Devonshire,CRIMINAL HOMICIDE,40,M,O,HAND GUN,Adult Arrest,17200    DEVONSHIRE                   ST
231211367,5/4/2023,1/1/2021,1200,77th Street,THEFT OF IDENTITY,17,M,H,,Invest Cont,9500 S  WESTERN                      AV
221313610,6/28/2022,10/1/2021,800,Newton,BURGLARY,35,F,H,,Invest Cont,700 E  27TH                         ST
221912123,7/19/2022,4/8/2021,1920,Mission,THEFT OF IDENTITY,55,M,H,,Invest Cont,8600    SALOMA                       AV
221115515,10/25/2022,4/1/2021,800,Northeast,THEFT OF IDENTITY,54,M,B,,Invest Cont,2500    HYPERION                     AV
220213152,7/11/2022,8/20/2021,1030,Rampart,THEFT OF IDENTITY,24,M,B,,Invest Cont,900 S  GRAND VIEW                   ST
220317410,9/26/2022,12/10/2021,1656,Southwest,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",25,F,W,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,5300 W  ADAMS                        BL
220516343,11/25/2022,1/1/2021,800,Harbor,THEFT OF IDENTITY,69,M,O,,Invest Cont,1500    260TH                        ST
220321986,12/16/2022,5/31/2021,1700,Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",20,X,X,,Invest Cont,3500 W  MARTIN LUTHER KING JR        BL
221913496,8/22/2022,8/1/2021,1200,Mission,THEFT OF IDENTITY,20,F,H,,Invest Cont,8600    PARTHENIA                    PL
222018438,8/23/2022,3/10/2021,1,Olympic,THEFT OF IDENTITY,39,F,K,,Invest Cont,2300 W  21ST                         ST
221813022,6/20/2022,12/1/2021,10,Southeast,THEFT OF IDENTITY,21,M,H,,Invest Cont,8900 S  FLOWER                       ST
221416408,9/10/2022,11/21/2021,551,Pacific,THEFT OF IDENTITY,43,F,B,,Invest Cont,11800    RADIO                        DR
220412359,8/23/2022,8/10/2021,800,Hollenbeck,DOCUMENT FORGERY / STOLEN FELONY,55,F,A,,Invest Cont,200 N  AVENUE 25
221417685,8/1/2022,2/1/2021,1200,Pacific,EXTORTION,71,M,W,,Invest Cont,5900 W  76TH                         ST
